3,0.0,2000.0,0.00
31,0.0,100.0,0.00
63,2.0,50.0,0.25
94,7.5,68.0,0.69
126,2.0,50.0,0.25
157,2.5,40.0,0.39
173,3.0,37.0,0.51
188,3.5,34.0,0.65
195,4.0,33.0,0.76
201,4.5,32.0,0.88
207,5.0,30.5,1.03
214,5.5,30.0,1.15
220,6.0,29.0,1.30
226,6.0,28.5,1.32
232,6.5,27.5,1.49
239,7.0,27.0,1.63
245,7.5,26.0,1.81
251,7.5,25.5,1.85
267,8.0,24.0,2.09
283,8.5,22.5,2.37
314,8.5,18.5,2.89
346,5.8,18.5,1.97
377,7.5,17.0,2.77
