0.5,2.3
5,2.3
10,2.5
15,2.7
20,3.1
25,3.8
27.5,4.2
30,4.8
31,5
32,5.2
33,5.6
34,5.8
35,5.8
36,5.8
37,5.8
38,5.6
39,5.4
40,5
42.5,4.2
45,3.4
50,2.3
55,1.7
60,1.4
150,0.14
300,0.02
