0.5,0,2000
5,0,100
10,2,50
15,7.5,68
20,2,50
25,2.5,40
27.5,3,37
30,3.5,34
31,4,33
32,4.5,32
33,5,30.5
34,5.5,30
35,6,29
36,6,28.5
37,6.5,27.5
38,7,27
39,7.5,26
40,7.5,25.5
42.5,8,24
45,8.5,22.5
50,8.5,18.5
55,5.8,18.5
60,7.5,17
